gender,age,name,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,country,city,location,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,lastOnlineDate,lastOnlineTime,userId
F,25,daeni,TRUE,TRUE,TRUE,CH,Rothenburg,Rümlang,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-25T20:43:26Z,1429994606,55303fc3160ba0eb728b4575
F,22,italiana 92,TRUE,TRUE,TRUE,CH,Sissach,Sissach,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,2015-04-26T09:19:35Z,1430039975,552e7b61c66da10d1e8b4c82
F,21,Lauraaa,FALSE,FALSE,TRUE,CH,Bâle,Bâle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2015-04-06T14:24:07Z,1428330247,54a584ecc56da128638b4674
F,20,Qqkwmdowlo,TRUE,TRUE,FALSE,CA,Montréal,Berne,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2015-04-07T11:21:01Z,1428405661,54c92738076ea1b5338b4735
F,21,schaessie {3,TRUE,FALSE,FALSE,DE,Rastatt,Rastatt,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-06T14:25:20Z,1428330320,54e1a6f6c76da135748b4a3a
F,24,Baby dee,TRUE,FALSE,TRUE,DE,Titisee-Neustadt,Titisee-Neustadt,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2015-04-08T14:37:51Z,1428503871,54f2b4ce0b6ea1177e8b4d18
F,24,Anna,FALSE,TRUE,FALSE,DE,Stuttgart,Stuttgart,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2015-04-27T19:29:58Z,1430162998,54ecbb39170ba08b488b4aa5
F,23,Feelinchen,TRUE,FALSE,TRUE,DE,Eisenhüttenstadt,Bad Krozingen,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2015-04-08T14:18:11Z,1428502691,54fc1786170ba041758b4577
F,20,chantal,TRUE,TRUE,TRUE,CH,Gstaad,Steffisburg,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2015-04-07T20:01:55Z,1428436915,550c8310066ea13f808b4b35
F,24,rina1990,TRUE,TRUE,TRUE,DE,Stuttgart,Stuttgart,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2015-04-06T16:10:49Z,1428336649,53745af3150ba023158b4588
F,22,anniwhat,TRUE,TRUE,FALSE,FR,Bad Bellingen,Bad Bellingen,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-26T11:23:41Z,1430047421,53eb2d41ea6da1bb178b4aa0
F,20,Pierrette,TRUE,TRUE,FALSE,CH,Basel,Liestal,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-08T14:34:25Z,1428503665,5501ff6bcc6da1e21e8b45b5
F,22,Nathalie,TRUE,FALSE,FALSE,DE,Neu-Ulm,Holzheim,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-06T14:52:17Z,1428331937,54fa217d190ba0a1618b4668
F,20,brava ragazza,TRUE,TRUE,TRUE,CH,Zürich,Zürich,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-26T10:04:30Z,1430042670,54ce9b6d170ba0c7548b4bef
F,22,Madeline,FALSE,FALSE,TRUE,DE,Emmendingen,Hinterzarten,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-08T14:49:55Z,1428504595,500aef252d15de2d6f00046e
F,25,Lia,FALSE,TRUE,TRUE,CH,Rifferswil,Rifferswil,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-26T17:19:17Z,1430068757,54e238cdcb6da1706f8b4b44
F,21,Vanessa,TRUE,FALSE,TRUE,DE,Pulheim,Pulheim,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-06T14:57:34Z,1428332254,53d7e6c8170ba055398b54ea
F,22,Je** 🌸,TRUE,TRUE,TRUE,DE,Müllheim,Mülheim,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2015-04-25T04:36:43Z,1429936603,552e5bbd066ea1933e8b490b
